"comicName","comicSummary","comicGrade"
"괜찮아, 고3이야","너와나의 리얼고3툰","9.90"
"전송","살아있을까","9.22"
"베이퍼 정키스","퓨처 느와르","9.34"
"우리는 친한친구","친한친구 이야기","9.34"
"미친 꽃은 답도 없다","로판 / 자유연재","9.75"
"주짓수와 고양이","주짓수에 빠진 집사","9.70"
"이상한사무실","디자인 회사 이야기","9.49"
"오늘도 그래고래","힐링 미스터리 웹툰","9.82"
"일요극장","아마도 일상 판타지","9.84"
"느린한끼","요리 만화","9.74"
"엑스마키나","SF액션","7.17"
"도깨비 장난","혁명 액션 판타지","9.87"
"저승파견고용직","기묘한 러브액션로망","9.90"
"김작가의 오춘기 그림일기","오춘기를 앓고있어요","9.84"
"모두의 단편선","모두가함께하는웹툰","9.84"
"나는 마요 집사로소이다","쉽지 않은 집사생활","9.83"
"사서고생!","어른이 되고 싶어!","9.73"
"마법소년 근무일지","","9.78"
"생각보다 잘 자랐습니다","가정폭력 그후10년","9.85"
"이루어지리다","청춘 성장 판타지","9.56"
"하이스쿨 콤플렉스(마이동풍)","청춘로맨스","9.63"
"이딴여행","여행포토툰","9.75"
"너의 여집합","네가 없는 세상","9.85"
"토마","의문의 전학생","9.40"
"미스터 신데렐라","신데렐라가 남자라면","9.80"
"분노의 난임일기","난임 정복 웹툰!","9.77"
"채채쓰의 웃픈일기","왜 삶은 웃플까요?","9.88"
"행복을 만드는 방법","집착감금물","9.63"
"A girl like alien","외계인 같은 소녀.","9.81"
"국제결혼개그만화","한-러커플 개그만화","9.88"
"카나와 초나의 독일","독일 생존기","9.87"
"블루랜드","색을 잃고 살아남다","9.90"
"뼈의 시간","병원 호러스릴러","9.77"
"할로윈이 끝나기 전에","매주 수요일 연재","9.88"
"찌의일찌","찌의데일리","9.71"
"가위바위보","지면 죽는다.","9.63"
"쓰레기 성의 소녀","만화 속 세상이야기","9.89"
"죽탱이","MMA 종합격투기","8.56"
"너와 가까워지는 거리","소프트BL","9.64"
"양송부부의 맛있는 한잔","술이 있는 일상","9.80"
"촌스러운 그들","촌스러운 그들","9.65"
"하나리즈","레즈비언 커플이야기","8.83"
"음악의 길","퓨전 뮤직 액션","9.32"
"원스 인 어 블루문","초능력은 거들 뿐","9.78"
"뼈와 재, 불의 이야기","월요일 현대 판타지","8.69"
"이래서 애들은","다양한장르의 거짓말","9.88"
"엑스프렌즈","이별 사연 에피소드","9.84"
"맹랑맘마 MEMORY","다시 쓰는 일기","9.84"
"베텔게우스","별과 시간과 사람","9.26"
"육식 토끼","모순의 성장 드라마","9.78"
"용사 신드롬!","모험 로맨스 판타지","9.56"
"누루누루 음식만화","음식 탐닉 일상툰","9.88"
"기억지도","한국근현대 SF물","9.41"
"일상중의 일상툰","상중의 이상한 일상","9.19"
"브레인 스톰","기억들의 배틀로얄","9.87"
"루이와 졸개들 R","나만알고싶은 양아치","9.77"
"용은 범을 잡아먹지 않는다.","용과 싸우는 소년","9.71"
"우리집 강아지는 복슬강아지","댕댕이와의 일상:3","9.90"
"사는 게 이게 모양?!","모양이와 일상생존기","9.77"
"모노톤 책꽂이","로맨스 단편집","9.22"
"만월에 핀 연꽃","고려시대 사랑이야기","9.69"
"막장동화에 어서오렴! (feat.동화원정대)","코믹 개그 막장동화","9.22"
"지몽, 선 너머의 나","운명조작히어로","9.57"
"네펜데스","환경 판타지 스토리","9.23"
"망했다 튀어라","만화","9.72"
"그래도 하루는","희노애락 투병일기","9.88"
"말레이시아 리스키씨","말레이시아 교민일기","9.89"
"오사와 오폐수들","그냥 오사의 일상","9.93"
"고등학교 수감기록","고삼은 존버한다","9.73"
"런어웨이","초능력 소녀,그의 소유물이 되다","9.76"
"아스테리스크","용과 소년소녀","9.89"
"우리들의 우상은","무한긍정도시 탈출기","9.84"
"파라웨이 치킨","먼치킨알바들과사장","9.61"
"소소일기","소소한 일상","9.59"
"해결사","해결사를 하는 소년소녀의 일상물","9.88"
"숲의 향연","인격이 있는 숲.","9.71"
"달기알","달걀 닮아서 달기알.","9.88"
"여기서 한잔할래?","수달의 혼술툰","9.71"
"괴물의 바다","바다로 가는 이야기","9.89"
"에고 인 휴고","지킬 박사의 후손","9.65"
"디 언더사이즈드(THE UNDERSIZED)","고등학교농구부이야기","9.52"
"이름 없는 나에게","윤하와 주변 이야기","9.10"
"서폿저택에 어서오세요","서폿만 사는 저택","9.86"
"남의 사랑 이야기","조금 늦은 첫사랑","9.80"
"아이엠","파란만장아이돌라이프","9.58"
"점성술사","점쟁이들 이야기","9.60"
"정신과심리만화 by 팔호광장","알고싶니 마음","9.76"
"소울","코믹액션 더하기 환타지","8.93"
"리사이클","게임뒤에 숨은 비극","8.89"
"게임에 접속했습니다!","게임하는 고딩들","9.76"
"DOOR","충격의 다크 판타지","9.82"
"루머의 법칙","캠퍼스 로맨스","9.77"
"반오십부터 그림일기","평범한 으른일기","9.84"
"전지적 악녀 시점","썸네일 주인공 아님","8.76"
"용사·마왕·우주인","낙제 용사 이야기","9.90"
"수영만화일기","저질체력,수영-하다","9.87"
"THE 극한가장","네가족의 일상툰","9.76"
"제제와 함께","장애아이와 형제","9.83"
"프레이","좀 매운 배틀물","9.77"
"힝구의 견생일기","동네개들의견생라이프","9.90"
"천상열차분야지도","옥황상제와 별자리","9.87"
"모지리전","바보 무리 기록본","9.21"
"코엑시스트","로맨스 스릴러","8.98"
"범죄 사냥꾼:9직 전쟁","범죄를 사냥하는형사","9.59"
"착한남자 김우진","20대 남자의이야기","8.68"
"자유의 경계","감옥액션스릴러","9.80"
"피오키노","악마와 소년","9.61"
"신과의 대화","즐거운 이야기","9.78"
"허니허니2 - 느리지만 괜찮아","초보아빠 육아일기","9.89"
"내과 박원장","의사가그린 의사만화","9.83"
"너와 나의 몰디브","30대 연애와 결혼","9.42"
"가상&RPG","가상현실 액션RPG","9.88"
"왕과 나","세자는 여인이다.","9.71"
"일찍 자고 일찍 일어나기","아침형 뱀파이어","9.90"
"로마의 법칙","이태리 직장인 늘보","9.84"
"햇살 주인공을 악당으로 키워버렸다","공주로 환생했다.","9.74"
"채똘일기","채똘일기","9.59"
"봄날의 산보","봄날에 산보하듯","9.82"
"꽃이 피는 자리","기생 식물","9.67"
"문어숙희숙회","문어숙회를 위하여!","9.74"
"타이트엔드","미식축구 만화","9.44"
"귀염뽀짝 애기뚱냥 뽀냥이","귀염뽀짝한 애기뚱냥","9.83"
"사도 신여랑傳","초 자유연재 입니다","9.49"
"F I X","타임리프호러","9.51"
"슈체나리움 (Szenarium)","서막","9.02"
"츤데레","남정네 넷의 츤츤","9.87"
"청춘갱신","#사랑#우정#성장","9.71"
"래빗 콤바치!","주짓떼라 생활툰","9.64"
"썰 삽니다! PM사무소","이야기를 삽니다!","9.85"
"네, 아직 아파요","정병러 그림 일기","9.47"
"루텔","력家네","9.90"
"한국 프로야구사","프로야구 역사만화","9.52"
"썸라대왕","현대로맨스판타지","9.55"
"루커피쳐","꿈이 뭐예요?","9.89"
"크림슨 크로스","희망의 가치.","9.77"
"달콩달콩 일상","바카와 호두","9.82"
"뿅가이","간다 간다 뿅간다","9.86"
"도례 (道禮)","초능력의 기원","8.71"
"흑묘","검은 고양이 사냥꾼","9.73"
"얼어붙은 아로와향기","청춘들의 쿨 로맨스","8.85"
"39℃","꿈을 이루는 끈기","7.84"
"우주n은하","우주에서 온 소녀들","9.86"
"찬란의 날","'칩'이 나타났다.","9.84"
"곰팡남녀","보통의 경계","9.89"
"어쩌다 햄스터","초보집사와 초보주인","9.81"
"좋아하는거 참으면 병나요!","좋아하는건 못참아","9.70"
"CAFE_쉬어가게","누구나 쉬어가는 곳","9.78"
"열여섯과 스물 그 사이","툭탁 격정 로맨스","8.98"
"천사는 야옹","고양이가 사실 천사","9.89"
"타고난자","우리의 그 시절","9.60"
"업사이클 다이어리","버리면 애물단지 손대면 나만의 예술작품","9.68"
"누나 한입만화","4컷 일상 먹툰","9.90"
"나는 부활 마법을 가졌다","부활판타지","9.86"
"좀비가 된 세상에서 마법사는","좀비와 마법사","9.29"
"디나운스","패션, 드라마","9.75"
"어둠의 창","어둠의 끝에서...","9.55"
"너어는지인짜","당근 맛집","9.68"
"백일몽화원","7,17,27일연재","9.70"
"개판오분전","즐겨요이기분","9.65"
"흙수저를 위한 나라는 없다","흙수저 성장기","9.49"
"왕립 루브리카 종합학원","판타지학원물","9.90"
"싸카소녀","소녀들의 스뽀오츠!","9.84"
"종이를 주웠다","종이의 성장과 사랑","9.64"
"월국(月國)의 프락세이스","소년과 세계,스피릿","9.63"
"고냥고냥","취준생 고냥이","9.90"
"금잔화가 피는 여름","동양 판타지","9.24"
"지나치게 달콤한","알바생VS아이돌","9.86"
"악인","현대판타지 스릴러","9.78"
"야귀록","귀신과 사람이야기","9.75"
"무쇠 후라이팬","무쇠팬 쓰는 남자","9.90"
"어쩌다 보니 용사가","용사가 허접 쩌리?","9.64"
"개인적인택시","음악이 흐르는 택시","9.89"
"이클립스","자유연재","9.86"
"졸렬☆다이나믹","다이나믹 초딩들","9.90"
"어느새 대학생","미대생의 대학생활","9.31"
"비공략 캐릭터를 공략하는 방법","게임캐를 공략하라!","9.25"
"광고감독의 발암일기","광고감독의 웃픈일상","9.65"
"고양이 마법학교","마법배우는 고양이들","9.79"
"아수라게이트","아수라 죽이기","9.46"
"날개 부러진 새의 노래","타인이 되는 두남녀","9.53"
"수능0등급","고3 vs 테러범","9.08"
"휠오브포춘","운명의 굴레","9.73"
"라텔론","근미래속의 마법사","9.25"
"헨젤","지옥을 거니는 천사.","8.90"
"빨간 물고기","엄마에 대한 애증","9.89"
"심연","비윤리적인 실험","9.76"
"우당탕탕 재끼 일상","부부,일상,공감","9.49"
"달맞이꽃","동양판타지","9.82"
"용사님이시다","정통 판타지 만화?","9.85"
"능력안경","안경장르 만화","9.90"
"풋내기들","청춘하숙 로맨스","9.53"
"마이데이","순정,학업로맨스","9.68"
"이상징후(異常徵候)","초능력이 아닙니다.","9.85"
"애니메이킹","애니메이션 만들기","9.51"
"꽃밭에서","잊어버린 것","9.87"
"궤짝","어두운본성을마주하다","9.79"
"연애일기","소소한 연애 일상","9.90"
"블랙펄","죽지못하는 용병","9.72"
"집에가고싶다","집곰팡이의 일상","9.89"
"웨일즈","인어와 인어사냥꾼","9.89"
"똥두","사춘기 소녀의 일상","9.69"
"잘먹는 가","먹는게 낙인 가족들","9.77"
"지나온 길","학원 성장 드라마","9.37"
"여자 공수혁","수혁이 학원기","9.90"
"망생이 전투","기계가 일해주는줄","9.66"
"자체공강","대학물인척하는 만화","9.86"
"흐르는 바닷불처럼","해귀에게서 살아남기","9.78"
"날것","해묵은 그림 일기장","8.77"
"월혼","여우인간의 생존사투","9.73"
"저승 화랑전","악덕 상사와 나","9.90"
"버그 트레인","NPC들의 생존기","9.84"
"처음이잖아","괜찮아. 처음이잖아","9.52"
"新조선왕조실록","조선왕조인계자이야기","9.83"
"저주와 별가루","저주와 별가루","9.74"
"상그미상","일상툰!","9.89"
"엔드시즌","초딩들의 야구","9.56"
"강가네","사남매 가족 적응기","9.89"
"겨까게 사랑한다","반려묘와자취라이프","9.49"
"판타스틱 시니어","로라의 성장","9.88"
"마족사제","사제님은 마족?","9.89"
"위치파이와 미드나잇주스","내 인생은 내 인생","9.84"
"번혼","용이 되어라!","9.09"
"용아","능력자 판타지","8.91"
"단편들","단편만화","9.90"
"발버둥치다","우울증 이야기","9.89"
"너나들이","20대남녀연애이야기","9.87"
"오마이갓","신을 뽑는 오디션","9.58"
"이웃집 유부녀","일상툰","9.90"
"아옹아옹","두식이 냥육일기","9.86"
